timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-04-30 15:01:00,Profit Premimum below 15; bying again (Hedging),PE,11400.0,2019-05-02,0.85,1,buy,open,-,217.84999999999997
2019-04-30 15:30:00,weekly closing,CE,12000.0,2019-05-02,0.4,1,buy,closed,-3.5500000000000003,214.29999999999995
2019-04-30 15:30:00,weekly closing,PE,11400.0,2019-05-02,0.55,1,buy,closed,-2.95,211.34999999999997
2019-04-30 15:30:00,weekly closing,CE,12000.0,2019-05-02,0.4,2,buy,closed,-3.6999999999999997,207.64999999999998
2019-04-30 15:30:00,weekly closing,PE,11400.0,2019-05-02,0.55,1,buy,closed,-2.3499999999999996,205.29999999999998
2019-04-30 15:30:00,weekly closing,PE,11750.0,2019-05-02,33.7,1,sell,closed,-0.4000000000000057,204.89999999999998
2019-04-30 15:30:00,weekly closing,PE,11400.0,2019-05-02,0.55,1,buy,closed,-0.29999999999999993,204.59999999999997
2019-05-02 09:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,11600.0,2019-05-09,37.3,1,sell,open,-,204.59999999999997
2019-05-02 09:15:00,40 < RSI-D < 60; 40 < RSI-H < 60 (Hedging),PE,11300.0,2019-05-09,2.65,1,buy,open,-,204.59999999999997
2019-05-02 12:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,CE,11850.0,2019-05-09,32.2,1,sell,open,-,204.59999999999997
2019-05-02 14:06:00,Profit Premimum below 15,PE,11600.0,2019-05-09,14.7,1,sell,closed,22.599999999999998,227.19999999999996
2019-05-02 14:06:00,Profit Premimum below 15; bying again,PE,11700.0,2019-05-09,34.85,1,sell,open,-,227.19999999999996
